Timestamp,What is the size of your business? , In which industry does your business operate?, How long has your business been operating?,Where is your business primarily located?,"Has your business adopted digital payment methods (e.g., mobile payments, e-wallets, online banking)?",What digital payment methods does your business currently accept? (Select all that apply),How often do customers use digital payments in your business?,Has your team received any formal training on digital payment systems?, [Using digital payments is easy for my business to manage.], [It is easy to train employees to use digital payment systems.], [Digital payments have the potential to improve my business’s efficiency.], [Using digital payments can enhance customer satisfaction.], [The cost of adopting digital payments is affordable for my business.], [Transaction fees for digital payments are reasonable for my business.], [I am concerned about the security risks associated with digital payments.], [My customers are concerned about the privacy of their information when using digital payments.], [I am aware of the regulatory requirements for using digital payments in Malaysia.], [Compliance with regulations is a significant factor in my decision to adopt digital payments.], [My business has the technical skills necessary to use digital payment systems.], [I am confident in troubleshooting issues that arise with digital payment systems.], [Adopting digital payments can help my business stay competitive.], [I feel pressured to adopt digital payments due to competition in the market.], [My customers frequently request digital payment options.], [Offering digital payments is important to meet customer expectations.], [Government incentives encourage my business to adopt digital payments.], [I am aware of the support programs available for digital payment adoption in Malaysia.], [My business location has reliable internet connectivity to support digital payments.], [The infrastructure available makes it easy to implement digital payment options in my business.],What challenges or concerns do you face regarding digital payment adoption?,What support would you find most helpful for digital payment adoption? [Government grants or financial subsidies],What support would you find most helpful for digital payment adoption? [Lower transaction fees or affordable pricing options],What support would you find most helpful for digital payment adoption? [Training for staff on digital payment systems],What support would you find most helpful for digital payment adoption? [Technical support for setting up and troubleshooting digital payments],What support would you find most helpful for digital payment adoption? [Information on security measures for safer digital transactions],What support would you find most helpful for digital payment adoption? [Clear guidelines on regulatory requirements],What support would you find most helpful for digital payment adoption? [Marketing support to increase customer awareness of digital payment options],Do you plan to fully adopt digital payments in the next 6-12 months?, [Row 17]
11/4/2024 16:25:44,Micro (1-5 employees),Food & Beverage,More than 5 years,"Rural area (e.g., Kampung Pulai Baru, etc.)",Yes,"E-wallets (e.g., Boost, GrabPay, ShopeePay, Touch 'n Go, etc.), Online bank transfers (e.g., FPX)",Sometimes,No training provided,3,2,2,5,5,1,3,3,5,5,5,3,5,3,4,5,3,4,5,5,"Unreliable internet connectivity, Difficulty in maintaining records or accounting with digital payments",5,5,3,5,5,5,5,"Yes, definitely",
11/4/2024 16:26:53,Micro (1-5 employees),Fashion & Accessories,Less than 1 year,"Urban area (e.g., Kuala Lumpur, Kuala Terengganu, etc.)",Yes,"E-wallets (e.g., Boost, GrabPay, ShopeePay, Touch 'n Go, etc.), Online bank transfers (e.g., FPX)",Very Frequently,"Yes, but informally (e.g., self-taught)",5,5,5,5,5,5,3,3,4,4,5,4,5,2,5,5,2,2,5,5,"Security and privacy concerns, Limited technical knowledge or digital literacy among staff, Unreliable internet connectivity",5,5,3,4,5,5,5,"Yes, definitely",
11/4/2024 16:48:36,Micro (1-5 employees),Retail,More than 5 years,"Urban area (e.g., Kuala Lumpur, Kuala Terengganu, etc.)",Yes,"E-wallets (e.g., Boost, GrabPay, ShopeePay, Touch 'n Go, etc.), Online bank transfers (e.g., FPX), Credit/Debit cards",Frequently,"Yes, but informally (e.g., self-taught)",5,5,5,5,4,4,1,4,4,4,4,4,4,5,4,4,4,4,4,4,"High transaction fees, Limited technical knowledge or digital literacy among staff, Difficulty in maintaining records or accounting with digital payments",5,5,4,4,4,4,4,"Yes, definitely",
11/4/2024 18:44:54,Micro (1-5 employees),Services,More than 5 years,"Urban area (e.g., Kuala Lumpur, Kuala Terengganu, etc.)",Yes,"Online bank transfers (e.g., FPX), Credit/Debit cards",Sometimes,No training provided,4,3,4,3,5,5,5,5,3,3,3,2,3,3,5,5,2,1,5,5,"Security and privacy concerns, Limited technical knowledge or digital literacy among staff, Unreliable internet connectivity, Regulatory requirements or compliance issues",5,5,5,5,5,5,5,"Yes, possibly",
11/4/2024 22:48:38,Micro (1-5 employees),Services,More than 5 years,"Suburban area (e.g., Petaling Jaya, Kuala Nerus, etc.)",Yes,"E-wallets (e.g., Boost, GrabPay, ShopeePay, Touch 'n Go, etc.), Online bank transfers (e.g., FPX), Credit/Debit cards",Very Frequently,"Yes, but informally (e.g., self-taught)",5,5,4,4,5,4,4,5,5,4,5,4,4,5,5,4,5,5,4,5,"Initial setup and integration costs, Unreliable internet connectivity, Regulatory requirements or compliance issues, Difficulty in maintaining records or accounting with digital payments",4,5,4,5,5,5,5,"Yes, possibly",
11/11/2024 15:04:09,Small (6-50 employees),Services,More than 5 years,"Urban area (e.g., Kuala Lumpur, Kuala Terengganu, etc.)",Yes,"E-wallets (e.g., Boost, GrabPay, ShopeePay, Touch 'n Go, etc.), Online bank transfers (e.g., FPX), Credit/Debit cards",Frequently,"Yes, formal training was provided",4,5,5,4,4,2,4,4,3,4,3,3,4,2,3,3,2,4,4,4,"High transaction fees, Lack of customer demand for digital payments, Security and privacy concerns, Initial setup and integration costs, Limited technical knowledge or digital literacy among staff, Unreliable internet connectivity",4,4,2,3,4,3,3,"Yes, definitely",
11/12/2024 13:13:04,Micro (1-5 employees),Construction ,More than 5 years,"Urban area (e.g., Kuala Lumpur, Kuala Terengganu, etc.)",Yes,"Online bank transfers (e.g., FPX)",Very Frequently,"Yes, but informally (e.g., self-taught)",4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,Limited technical knowledge or digital literacy among staff,4,4,5,5,5,5,5,"Yes, definitely",
11/12/2024 13:34:42,Small (6-50 employees),Manufacturing,1-3 years,"Suburban area (e.g., Petaling Jaya, Kuala Nerus, etc.)",No,,,,5,5,5,4,4,5,5,4,5,5,5,5,5,5,5,5,4,5,4,5,"High transaction fees, Lack of customer demand for digital payments, Security and privacy concerns, Difficulty in maintaining records or accounting with digital payments",5,5,5,4,4,5,5,"Yes, possibly",
11/17/2024 11:30:25,Micro (1-5 employees),Food & Beverage,Less than 1 year,"Suburban area (e.g., Petaling Jaya, Kuala Nerus, etc.)",Yes,"E-wallets (e.g., Boost, GrabPay, ShopeePay, Touch 'n Go, etc.), Online bank transfers (e.g., FPX)",Very Frequently,"Yes, but informally (e.g., self-taught)",5,5,5,5,5,5,1,1,5,4,4,4,5,2,5,5,4,4,5,4,Security and privacy concerns,5,5,4,4,5,5,5,"Yes, definitely",
11/17/2024 11:48:41,Micro (1-5 employees),Retail,More than 5 years,"Suburban area (e.g., Petaling Jaya, Kuala Nerus, etc.)",Yes,"E-wallets (e.g., Boost, GrabPay, ShopeePay, Touch 'n Go, etc.)",Frequently,No training provided,4,3,4,4,4,4,3,3,3,3,3,2,4,4,4,4,2,1,2,2,"Initial setup and integration costs, Limited technical knowledge or digital literacy among staff, Difficulty in maintaining records or accounting with digital payments",2,3,2,3,3,3,3,"Yes, possibly",
11/17/2024 11:52:02,Micro (1-5 employees),Food & Beverage,1-3 years,"Urban area (e.g., Kuala Lumpur, Kuala Terengganu, etc.)",Yes,"E-wallets (e.g., Boost, GrabPay, ShopeePay, Touch 'n Go, etc.), Online bank transfers (e.g., FPX)",Frequently,"Yes, but informally (e.g., self-taught)",4,3,5,5,5,4,3,2,2,2,4,3,5,5,5,5,1,1,3,3,Regulatory requirements or compliance issues,3,4,3,4,4,4,5,"Yes, definitely",
11/17/2024 13:16:41,Micro (1-5 employees),Food & Beverage,Less than 1 year,"Urban area (e.g., Kuala Lumpur, Kuala Terengganu, etc.)",Yes,"E-wallets (e.g., Boost, GrabPay, ShopeePay, Touch 'n Go, etc.), Online bank transfers (e.g., FPX)",Frequently,"Yes, but informally (e.g., self-taught)",4,4,4,4,3,3,4,5,4,4,4,4,4,4,4,4,3,3,4,3,"Security and privacy concerns, Regulatory requirements or compliance issues, Difficulty in maintaining records or accounting with digital payments",4,5,4,4,3,4,4,"Yes, possibly",
12/7/2024 18:35:42,Micro (1-5 employees),Services,1-3 years,"Urban area (e.g., Kuala Lumpur, Kuala Terengganu, etc.)",Yes,"E-wallets (e.g., Boost, GrabPay, ShopeePay, Touch 'n Go, etc.), Online bank transfers (e.g., FPX)",Very Frequently,"Yes, but informally (e.g., self-taught)",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,Unreliable internet connectivity,5,5,3,5,4,5,5,"Yes, definitely",
12/8/2024 9:33:02,Micro (1-5 employees),Fashion & Accessories,1-3 years,"Suburban area (e.g., Petaling Jaya, Kuala Nerus, etc.)",Yes,"E-wallets (e.g., Boost, GrabPay, ShopeePay, Touch 'n Go, etc.), Online bank transfers (e.g., FPX)",Very Frequently,"Yes, but informally (e.g., self-taught)",5,5,5,5,5,5,1,1,5,3,5,3,5,5,5,5,3,3,5,5,"Unreliable internet connectivity, Regulatory requirements or compliance issues",5,5,4,4,4,5,5,"Yes, definitely",
12/9/2024 12:07:02,Micro (1-5 employees),Fashion & Accessories,1-3 years,"Urban area (e.g., Kuala Lumpur, Kuala Terengganu, etc.)",Yes,"E-wallets (e.g., Boost, GrabPay, ShopeePay, Touch 'n Go, etc.), Online bank transfers (e.g., FPX)",Very Frequently,"Yes, but informally (e.g., self-taught)",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,5,5,"Security and privacy concerns, Limited technical knowledge or digital literacy among staff, Unreliable internet connectivity",5,5,5,5,5,5,5,"Yes, definitely",
12/9/2024 13:15:23,Micro (1-5 employees),gift and art,1-3 years,"Rural area (e.g., Kamunting, Marang, etc.)",Yes,"E-wallets (e.g., Boost, GrabPay, ShopeePay, Touch 'n Go, etc.), Online bank transfers (e.g., FPX)",Very Frequently,"Yes, but informally (e.g., self-taught)",5,4,5,5,5,5,5,5,5,5,5,5,5,2,5,5,3,3,5,5,Unreliable internet connectivity,5,5,5,5,5,5,5,"Yes, definitely",
12/17/2024 14:13:14,Micro (1-5 employees),Services,1-3 years,"Suburban area (e.g., Petaling Jaya, Kuala Nerus, etc.)",Yes,"E-wallets (e.g., Boost, GrabPay, ShopeePay, Touch 'n Go, etc.), Online bank transfers (e.g., FPX)",Very Frequently,"Yes, but informally (e.g., self-taught)",5,4,4,5,5,5,3,3,3,3,4,3,4,3,4,4,2,2,4,4,Limited technical knowledge or digital literacy among staff,4,3,4,4,4,4,4,"Yes, definitely",
12/17/2024 14:15:00,Medium (51-200 employees),Services,3-5 years,"Suburban area (e.g., Petaling Jaya, Kuala Nerus, etc.)",Yes,"E-wallets (e.g., Boost, GrabPay, ShopeePay, Touch 'n Go, etc.)",Frequently,"Yes, but informally (e.g., self-taught)",4,4,4,4,4,4,5,5,1,4,4,4,4,4,4,4,4,4,4,4,"Security and privacy concerns, Limited technical knowledge or digital literacy among staff, Unreliable internet connectivity",5,5,5,5,5,5,5,"Yes, definitely",
12/17/2024 14:16:58,Micro (1-5 employees),Printing,1-3 years,"Urban area (e.g., Kuala Lumpur, Kuala Terengganu, etc.)",Yes,"Online bank transfers (e.g., FPX), Credit/Debit cards",Very Frequently,"Yes, but informally (e.g., self-taught)",5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,3,4,"Security and privacy concerns, Limited technical knowledge or digital literacy among staff, Unreliable internet connectivity, Regulatory requirements or compliance issues",3,3,4,5,5,5,5,"Yes, definitely",
12/17/2024 14:19:59,Micro (1-5 employees),Food & Beverage,3-5 years,"Suburban area (e.g., Petaling Jaya, Kuala Nerus, etc.)",Yes,"E-wallets (e.g., Boost, GrabPay, ShopeePay, Touch 'n Go, etc.)",Frequently,"Yes, but informally (e.g., self-taught)",5,3,5,5,5,5,5,5,3,3,4,2,4,4,5,5,4,3,3,3,"Security and privacy concerns, Limited technical knowledge or digital literacy among staff, Unreliable internet connectivity, Regulatory requirements or compliance issues",3,3,4,5,5,5,5,"Yes, definitely",
